State,City,percent_completed_hs,poverty_rate,Median Income
AK,Chignik city,100,0,96250
AK,Chignik Lagoon CDP,84,0,93438
AK,Chignik Lake CDP,68.2,8.6,45000
AK,Chiniak CDP,100,0,-
AK,Chisana CDP,-,-,-
AK,Chistochina CDP,80,20.3,(X)
AK,Chitina CDP,82.6,15,(X)
AK,Chuathbaluk city,92,50.5,43750
AK,Circle CDP,54.3,63.6,17125
AK,Clam Gulch CDP,84.3,13.2,(X)
AK,Clark's Point city,74.2,55.4,25833
AK,Coffman Cove city,91.9,6,41786
AK,Cohoe CDP,95,16,57228
AK,Cold Bay city,97.5,0,86250
AK,Coldfoot CDP,70,30,-
AK,College CDP,94.9,8.2,73812
AK,Cooper Landing CDP,95.3,4.2,64301
AK,Copper Center CDP,84.8,18.8,39063
AK,Cordova city,91.6,5.8,85833
AK,Covenant Life CDP,100,0,31875
AK,Craig city,89.3,13.9,63229
AK,Crooked Creek CDP,80.8,39.8,31250
AK,Crown Point CDP,100,0,56688
AK,Deering city,88,14,50000
AK,Delta Junction city,95.4,10.6,72500
AK,Deltana CDP,93.8,14.9,74457
AK,Diamond Ridge CDP,97,9.2,69375
AK,Dillingham city,93.6,12.3,66875
AK,Diomede city,63.6,65.1,16250
AK,Dot Lake CDP,-,-,-
AK,Dot Lake Village CDP,64.9,25.9,20625
AK,Dry Creek CDP,100,15.5,(X)
AK,Eagle city,90.7,25.8,33125
AK,Eagle Village CDP,82.4,17.6,(X)
AK,Edna Bay city,-,-,-
